collid	category	local_hit	away_hit	all_hit	local_srch	away_srch	all_srch	local_user	away_user	all_user	local_brws	away_brws	all_brws	month_year
rth-bib	bib	0	0	0	0	0	0	2	3	5	0	0	0	Apr-06
fa-bib	bib	0	0	0	12	36	48	2	3	5	0	0	0	Apr-06
mcc-bib	bib	0	0	0	0	0	0	2	3	5	0	0	0	Apr-06
tdh-bib	bib	0	0	0	0	0	0	2	3	5	0	0	0	Apr-06
jei	text	2912	1825	4737	1	23	24	4	416	420	24	446	470	Apr-06
etd	text	278	2160	2438	0	0	0	172	847	1019	0	0	0	Apr-07
fa	text	244	207	451	115	57	172	156	211	367	172	61	233	Apr-07
utcat	text	2695	9040	11735	0	0	0	1584	6858	8442	1802	5226	7028	Apr-07
rth	image	16	7510	7526	1	150	151	10	7058	7068	1	1	2	Apr-07
tdh	text	51	13018	13069	65	4343	4408	24	12252	12276	10	496	506	Apr-07
mcc	image	16	3046	3062	5	457	462	5	2240	2245	0	2	2	Apr-07
etd-bib	bib	0	0	0	35	169	204	32	305	337	9	58	67	Apr-07
ual	image	16	1628	1644	10	858	868	5	907	912	0	0	0	Apr-07
spct	text	2	12	14	0	10	10	1	21	22	0	0	0	Apr-07
uky	image	16	1511	1527	0	255	255	4	738	742	0	5	5	Apr-07
arr-bib	bib	0	0	0	14	33	47	10	92	102	0	0	0	Apr-07
gar	image	0	381	381	0	28	28	1	91	92	2	1	3	Apr-07
egy	image	4	219	223	1	246	247	3	203	206	0	0	0	Apr-07
wcc	image	20	151	171	0	27	27	3	46	49	0	0	0	Apr-07
ldr	text	10	29	39	0	0	0	2	29	31	0	0	0	Apr-07
mcc-bib	bib	0	0	0	0	0	0	0	6	6	0	0	0	Apr-07
arrs	image	13	775	788	0	30	30	3	121	124	0	0	0	Apr-07
utcat-bib	bib	0	0	0	0	0	0	0	16	16	0	0	0	Apr-07
emn	text	0	13	13	0	0	0	0	13	13	0	0	0	Apr-07
ggma	text	0	96	96	0	0	0	0	77	77	0	0	0	Apr-07
spc-bib	bib	0	0	0	43	23	66	20	23	43	0	0	0	Apr-07
shld	image	0	33	33	0	28	28	0	25	25	0	3	3	Apr-07
yrb	text	226	21	247	5	0	5	54	11	65	99	7	106	Apr-07
map	image	204	44	248	0	0	0	35	34	69	7	14	21	Apr-07
tdh-bib	bib	0	0	0	6	0	6	2	13	15	0	0	0	Apr-07
fa-bib	bib	0	0	0	0	0	0	0	8	8	0	0	0	Apr-07
rth-bib	bib	0	0	0	0	0	0	0	14	14	0	0	0	Apr-07
mpm-bib	bib	0	0	0	0	0	0	0	14	14	0	0	0	Apr-07
arrt	text	0	25	25	6	21	27	3	31	34	0	0	0	Apr-07
coc	image	0	0	0	0	0	0	0	7	7	0	0	0	Apr-07
shld-bib	bib	0	0	0	0	1	1	0	16	16	0	0	0	Apr-07
ual-bib	bib	0	0	0	0	0	0	0	12	12	0	0	0	Apr-07
arrt-bib	bib	0	0	0	0	0	0	0	8	8	0	0	0	Apr-07
spcd-bib	bib	0	0	0	11	22	33	11	24	35	0	0	0	Apr-07
spct-bib	bib	0	0	0	0	0	0	1	13	14	0	0	0	Apr-07
wcc-bib	bib	0	0	0	0	0	0	0	13	13	0	0	0	Apr-07
jei-bib	bib	0	0	0	0	0	0	0	13	13	0	0	0	Apr-07
gar-bib	bib	0	0	0	2	0	2	1	14	15	0	0	0	Apr-07
uht-bib	bib	0	0	0	0	0	0	0	11	11	0	0	0	Apr-07
uky-bib	bib	0	0	0	0	0	0	0	14	14	0	0	0	Apr-07
egy-bib	bib	0	0	0	0	0	0	0	13	13	0	0	0	Apr-07
arro	text	6	1	7	54	76	130	5	13	18	0	0	0	Apr-07
vvs-bib	bib	0	0	0	0	0	0	1	0	1	0	0	0	Apr-07
arrp	image	7	15	22	0	50	50	3	23	26	0	0	0	Apr-07
jei	text	729	5154	5883	0	62	62	3	839	842	62	551	613	Apr-07
spct	text	8	101	109	24	214	238	6	21	27	0	0	0	Apr-08
utcat	text	19659	82684	102343	0	0	0	1980	8767	10747	3582	12278	15860	Apr-08
tdh	text	1752	1051	2803	2473	3584	6057	35	620	655	7	216	223	Apr-08
egy	image	1	220	221	52	284	336	3	232	235	0	0	0	Apr-08
wcc	image	9	285	294	4	138	142	4	86	90	1	38	39	Apr-08
etd-bib	bib	0	0	0	32	370	402	50	431	481	15	126	141	Apr-08
emn	text	0	70	70	3	633	636	1	22	23	0	0	0	Apr-08
vvs-bib	bib	0	0	0	217	1349	1566	30	513	543	0	0	0	Apr-08
