collid	category	local_hit	away_hit	all_hit	local_srch	away_srch	all_srch	local_user	away_user	all_user	local_brws	away_brws	all_brws	month_year
uky	image	0	1710	1710	0	50	50	0	189	189	0	44	44	Dec-04
utcat	text	2257	22026	24283	0	0	0	1335	10550	11885	1225	9425	10650	Dec-04
ual	image	0	2170	2170	0	0	0	0	497	497	0	41	41	Dec-04
mcc	image	8	2105	2113	1	131	132	3	340	343	0	46	46	Dec-04
tdh	text	554	6454	7008	688	1501	2189	21	1048	1069	5	621	626	Dec-04
coc	image	0	0	0	0	0	0	0	8	8	0	0	0	Dec-04
etd-bib	bib	0	0	0	75	264	339	43	160	203	19	60	79	Dec-04
utcat-bib	bib	0	0	0	2	8	10	1	8	9	0	0	0	Dec-04
fa	text	0	36	36	0	0	0	0	15	15	0	0	0	Dec-04
emn	text	0	1	1	0	0	0	0	1	1	0	0	0	Dec-04
tdh-bib	bib	0	0	0	0	4	4	1	12	13	0	0	0	Dec-04
etd	text	120	2816	2936	0	0	0	73	1961	2034	0	0	0	Dec-04
uky-bib	bib	0	0	0	0	5	5	1	10	11	0	0	0	Dec-04
egy-bib	bib	0	0	0	5	20	25	1	9	10	0	0	0	Dec-04
mpm-bib	bib	0	0	0	0	7	7	2	11	13	0	0	0	Dec-04
jei-bib	bib	0	0	0	0	5	5	1	10	11	0	0	0	Dec-04
mcc-bib	bib	0	0	0	8	38	46	1	10	11	0	0	0	Dec-04
rth-bib	bib	0	0	0	9	44	53	1	10	11	0	0	0	Dec-04
ual-bib	bib	0	0	0	10	40	50	1	10	11	0	0	0	Dec-04
fa-bib	bib	0	0	0	11	44	55	1	10	11	0	0	0	Dec-04
mcc	image	19	2248	2267	24	350	374	6	237	243	0	2	2	Dec-05
uky	image	19	611	630	6	160	166	6	191	197	0	2	2	Dec-05
utcat	text	2810	15140	17950	0	0	0	1405	6967	8372	1989	9354	11343	Dec-05
ual	image	19	2932	2951	0	0	0	6	345	351	0	0	0	Dec-05
rth	image	101	1377	1478	36	162	198	21	576	597	29	19	48	Dec-05
tdh	text	0	1942	1942	0	841	841	2	905	907	0	162	162	Dec-05
egy	image	0	338	338	1	21	22	1	185	186	0	0	0	Dec-05
coc	image	0	0	0	0	0	0	0	5	5	0	0	0	Dec-05
rth-bib	bib	0	0	0	0	0	0	2	1	3	0	0	0	Dec-05
etd-bib	bib	0	0	0	37	282	319	29	176	205	15	49	64	Dec-05
ual-bib	bib	0	0	0	9	0	9	2	0	2	0	0	0	Dec-05
gar	image	0	156	156	0	38	38	0	82	82	0	5	5	Dec-05
uky-bib	bib	0	0	0	0	0	0	2	0	2	0	0	0	Dec-05
shld	image	0	278	278	0	28	28	0	114	114	0	13	13	Dec-05
mpm-bib	bib	0	0	0	15	0	15	2	1	3	0	0	0	Dec-05
tdh-bib	bib	0	0	0	0	0	0	2	0	2	0	0	0	Dec-05
mcc-bib	bib	0	0	0	0	0	0	2	1	3	0	0	0	Dec-05
egy-bib	bib	0	0	0	24	0	24	2	3	5	0	0	0	Dec-05
fa	text	0	16	16	0	0	0	0	8	8	0	0	0	Dec-05
gar-bib	bib	0	0	0	0	0	0	2	0	2	0	0	0	Dec-05
utcat-bib	bib	0	0	0	30	0	30	2	1	3	0	0	0	Dec-05
jei-bib	bib	0	0	0	33	0	33	2	2	4	0	0	0	Dec-05
ggma	text	3	38	41	0	0	0	3	33	36	0	0	0	Dec-05
etd	text	73	2556	2629	0	0	0	58	1755	1813	0	0	0	Dec-05
shld-bib	bib	0	0	0	36	0	36	2	2	4	0	0	0	Dec-05
fa-bib	bib	0	0	0	39	0	39	2	3	5	0	0	0	Dec-05
ldr	text	0	3	3	0	0	0	0	3	3	0	0	0	Dec-05
jei	text	9331	1767	11098	0	60	60	3	416	419	60	441	501	Dec-05
agp02	text	0	0	0	0	0	0	0	1	1	0	0	0	Dec-05
map	image	1	0	1	3	0	3	5	13	18	0	0	0	Dec-05
nocol	text	0	0	0	0	0	0	13	32	45	0	0	0	Dec-05
uht	text	1	4	5	1	2	3	1	7	8	0	0	0	Dec-05
utk01	text	2	0	2	2	0	2	0	3	3	0	0	0	Dec-05
rth	image	105	1926	2031	12	425	437	12	422	434	4	97	101	Dec-06
utcat	text	2829	20343	23172	0	0	0	1306	8834	10140	1964	11640	13604	Dec-06
tdh	text	33	2859	2892	84	18637	18721	12	506	518	10	3897	3907	Dec-06
etd-bib	bib	0	0	0	25	238	263	39	318	357	24	111	135	Dec-06
uky	image	22	484	506	31	421	452	13	107	120	0	8	8	Dec-06
ual	image	22	539	561	113	1238	1351	13	157	170	0	9	9	Dec-06
egy	image	0	222	222	0	379	379	2	101	103	0	0	0	Dec-06
wcc	image	57	309	366	20	177	197	11	121	132	3	26	29	Dec-06
ggma	text	4	149	153	0	0	0	3	115	118	0	0	0	Dec-06
mcc	image	24	523	547	195	2081	2276	13	163	176	0	9	9	Dec-06
spcd-bib	bib	0	0	0	28	37	65	13	33	46	0	0	0	Dec-06
shld	image	0	3	3	0	0	0	0	7	7	0	0	0	Dec-06
etd	text	182	1769	1951	0	0	0	90	1109	1199	0	0	0	Dec-06
fa	text	403	113	516	105	43	148	64	52	116	114	53	167	Dec-06
gar	image	0	318	318	0	24	24	0	86	86	0	19	19	Dec-06
map	image	74	43	117	0	0	0	11	18	29	11	15	26	Dec-06
spct	text	18	23	41	16	9	25	13	21	34	0	0	0	Dec-06
egy-bib	bib	0	0	0	0	0	0	0	15	15	0	0	0	Dec-06
uky-bib	bib	0	0	0	0	0	0	0	14	14	0	0	0	Dec-06
uht-bib	bib	0	0	0	0	0	0	0	14	14	0	0	0	Dec-06
mpm-bib	bib	0	0	0	0	0	0	0	18	18	0	0	0	Dec-06
gar-bib	bib	0	0	0	0	0	0	0	15	15	0	0	0	Dec-06
jei-bib	bib	0	0	0	0	0	0	0	16	16	0	0	0	Dec-06
rth-bib	bib	0	0	0	0	0	0	0	15	15	0	0	0	Dec-06
tdh-bib	bib	0	0	0	0	0	0	0	16	16	0	0	0	Dec-06
ual-bib	bib	0	0	0	0	0	0	0	15	15	0	0	0	Dec-06
spc-bib	bib	0	0	0	56	24	80	20	23	43	0	0	0	Dec-06
wcc-bib	bib	0	0	0	0	0	0	0	13	13	0	0	0	Dec-06
mcc-bib	bib	0	0	0	0	0	0	0	17	17	0	0	0	Dec-06
fa-bib	bib	0	0	0	0	0	0	0	16	16	0	0	0	Dec-06
utcat-bib	bib	0	0	0	0	0	0	0	13	13	0	0	0	Dec-06
arr-bib	bib	0	0	0	0	0	0	0	8	8	0	0	0	Dec-06
arrt-bib	bib	0	0	0	0	0	0	0	10	10	0	0	0	Dec-06
spct-bib	bib	0	0	0	0	0	0	0	15	15	0	0	0	Dec-06
arrt	text	0	13	13	0	50	50	1	11	12	0	0	0	Dec-06
yrb	text	0	0	0	0	0	0	1	0	1	0	0	0	Dec-06
vvs-bib	bib	0	0	0	0	0	0	0	1	1	0	0	0	Dec-06
shld-bib	bib	0	0	0	0	0	0	0	1	1	0	0	0	Dec-06
coc	image	0	0	0	0	0	0	0	2	2	0	0	0	Dec-06
ldr	text	0	5	5	0	0	0	0	1	1	0	0	0	Dec-06
emn	text	0	8	8	0	0	0	0	2	2	0	0	0	Dec-06
jei	text	5	1581	1586	1	2	3	5	238	243	3	397	400	Dec-06
utcat	text	6122	88998	95120	0	0	0	847	8405	9252	1174	11163	12337	Dec-07
uky	image	0	2418	2418	1	119	120	1	123	124	0	3	3	Dec-07
spc-bib	bib	0	0	0	7	21	28	7	15	22	0	0	0	Dec-07
vvs-bib	bib	0	0	0	37	991	1028	13	268	281	0	0	0	Dec-07
gar	image	11	274	285	0	26	26	1	98	99	0	12	12	Dec-07
etd-bib	bib	0	0	0	53	312	365	29	320	349	12	106	118	Dec-07
tdh	text	5	1580	1585	7	1322	1329	3	465	468	2	220	222	Dec-07
vvb	text	0	37	37	12	717	729	1	54	55	0	0	0	Dec-07
vvo	text	0	62	62	15	584	599	4	31	35	0	0	0	Dec-07
egy	image	72	446	518	2	300	302	2	152	154	0	0	0	Dec-07
map	image	2	174	176	0	0	0	1	113	114	0	10	10	Dec-07
tdh-bib	bib	0	0	0	0	0	0	0	3	3	0	0	0	Dec-07
arrp	image	0	55	55	0	0	0	0	39	39	0	5	5	Dec-07
mcc	image	0	2935	2935	7	550	557	3	138	141	0	2	2	Dec-07
ual	image	0	2501	2501	11	923	934	3	172	175	0	1	1	Dec-07
shld	image	1	129	130	0	13	13	1	28	29	0	11	11	Dec-07
rth	image	11	1647	1658	2	145	147	6	287	293	0	9	9	Dec-07
arrs	image	0	469	469	0	2	2	0	87	87	0	0	0	Dec-07
fa	text	285	7651	7936	74	47	121	67	4643	4710	33	495	535	Dec-07
arr-bib	bib	0	0	0	2	39	41	4	39	43	0	0	0	Dec-07
vvt	text	3	68	71	6	36	42	2	13	15	0	0	0	Dec-07
emn	text	0	40	40	0	146	146	0	7	7	0	0	0	Dec-07
wcc	image	147	398	545	1	38	39	6	68	74	0	1	1	Dec-07
mpm-bib	bib	0	0	0	0	0	0	0	5	5	0	0	0	Dec-07
arro	text	0	40	40	6	406	412	2	16	18	0	0	0	Dec-07
wcc-bib	bib	0	0	0	0	0	0	0	5	5	0	0	0	Dec-07
vvz	image	0	363	363	0	4	4	0	76	76	0	0	0	Dec-07
vvi	image	4	63	67	0	1	1	2	32	34	0	0	0	Dec-07
arrt	text	0	45	45	0	216	216	0	15	15	0	0	0	Dec-07
mcc-bib	bib	0	0	0	0	0	0	0	5	5	0	0	0	Dec-07
spct-bib	bib	0	0	0	0	0	0	0	3	3	0	0	0	Dec-07
shld-bib	bib	0	0	0	0	1	1	0	6	6	0	0	0	Dec-07
spcd-bib	bib	0	0	0	1	9	10	1	9	10	0	0	0	Dec-07
uky-bib	bib	0	0	0	0	0	0	0	5	5	0	0	0	Dec-07
ual-bib	bib	0	0	0	0	0	0	0	2	2	0	0	0	Dec-07
rth-bib	bib	0	0	0	0	0	0	0	4	4	0	0	0	Dec-07
egy-bib	bib	0	0	0	0	0	0	0	4	4	0	0	0	Dec-07
uht-bib	bib	0	0	0	0	0	0	0	3	3	0	0	0	Dec-07
jei-bib	bib	0	0	0	0	0	0	0	5	5	0	0	0	Dec-07
utcat-bib	bib	0	0	0	0	0	0	0	5	5	0	0	0	Dec-07
gar-bib	bib	0	0	0	0	0	0	0	4	4	0	0	0	Dec-07
ar	text	147	112	259	215	60	275	38	19	57	15	17	32	Dec-07
spct	text	3	57	60	0	277	277	1	20	21	0	0	0	Dec-07
gam	text	1	10	11	0	0	0	1	31	32	6	152	158	Dec-07
ggma	text	14	1564	1578	0	0	0	1	92	93	0	0	0	Dec-07
tcw	text	0	1840	1840	0	0	0	0	65	65	0	0	0	Dec-07
etd	text	488	12194	12682	0	0	0	63	802	865	0	0	0	Dec-07
coc	image	0	0	0	0	0	0	0	1	1	0	0	0	Dec-07
fa-bib	bib	0	0	0	0	0	0	0	1	1	0	0	0	Dec-07
yrb	text	38	0	38	0	0	0	2	0	2	7	0	7	Dec-07
jei	text	676	7699	8375	0	61	61	2	1196	1198	61	823	884	Dec-07
rth	image	115	4534	4649	23	299	322	53	2591	2644	7	113	120	Feb-04
tdh	text	56	780	836	137	504	641	35	645	680	113	130	243	Feb-04
etd-bib	bib	0	0	0	155	515	670	66	201	267	42	108	150	Feb-04
uky	image	0	19	19	0	0	0	0	30	30	0	0	0	Feb-04
mcc	image	0	196	196	0	16	16	8	172	180	0	8	8	Feb-04
egy	image	0	84	84	0	0	0	1	65	66	3	1	4	Feb-04
ualr	image	0	2	2	0	0	0	1	1	2	0	0	0	Feb-04
rth-bib	bib	0	0	0	0	6	6	0	4	4	0	0	0	Feb-04
uky-bib	bib	0	0	0	0	0	0	0	2	2	0	0	0	Feb-04
fa	text	0	12	12	0	0	0	0	12	12	0	0	0	Feb-04
ual	image	0	50	50	0	0	0	2	42	44	0	0	0	Feb-04
mcc-bib	bib	0	0	0	0	13	13	1	3	4	0	0	0	Feb-04
mpm-bib	bib	0	0	0	1	0	1	1	3	4	0	0	0	Feb-04
jei-bib	bib	0	0	0	0	0	0	0	3	3	0	0	0	Feb-04
emn	text	1	6	7	0	0	0	1	4	5	0	0	0	Feb-04
etd	text	173	4837	5010	0	0	0	111	3418	3529	0	0	0	Feb-04
utcat	text	196	10	206	0	0	0	7	1	8	11	3	14	Feb-04
coc	image	0	0	0	0	0	0	0	2	2	0	0	0	Feb-04
egy-bib	bib	0	0	0	1	21	22	2	3	5	0	0	0	Feb-04
ualr-bib	bib	0	0	0	0	0	0	1	0	1	0	0	0	Feb-04
ual-bib	bib	0	0	0	0	24	24	2	3	5	0	0	0	Feb-04
tdh-bib	bib	0	0	0	0	0	0	1	3	4	0	0	0	Feb-04
jei	text	1006	403	1409	4	640	644	20	164	184	644	331	975	Feb-04
egy	image	0	1103	1103	0	183	183	1	545	546	0	0	0	Feb-05
tdh	text	536	6063	6599	635	2247	2882	49	1753	1802	22	1010	1032	Feb-05
utcat	text	2954	17349	20303	0	0	0	1759	9556	11315	2166	10629	12795	Feb-05
ual	image	0	1324	1324	0	5	5	1	657	658	0	12	12	Feb-05
rth	image	71	2425	2496	32	397	429	39	1253	1292	4	50	54	Feb-05
mcc	image	21	884	905	0	95	95	5	453	458	0	15	15	Feb-05
etd-bib	bib	0	0	0	48	277	325	51	222	273	18	81	99	Feb-05
uky	image	0	514	514	0	58	58	1	273	274	0	12	12	Feb-05
egy-bib	bib	0	0	0	0	0	0	1	6	7	0	0	0	Feb-05
fa-bib	bib	0	0	0	0	1	1	0	8	8	0	0	0	Feb-05
mcc-bib	bib	0	0	0	0	5	5	0	7	7	0	0	0	Feb-05
jei-bib	bib	0	0	0	0	0	0	0	4	4	0	0	0	Feb-05
mpm-bib	bib	0	0	0	0	0	0	0	6	6	0	0	0	Feb-05
rth-bib	bib	0	0	0	0	11	11	0	6	6	0	0	0	Feb-05
tdh-bib	bib	0	0	0	0	16	16	0	21	21	0	0	0	Feb-05
ual-bib	bib	0	0	0	0	17	17	0	7	7	0	0	0	Feb-05
uky-bib	bib	0	0	0	0	0	0	0	6	6	0	0	0	Feb-05
utcat-bib	bib	0	0	0	0	9	9	0	5	5	0	0	0	Feb-05
emn	text	0	4	4	0	0	0	0	3	3	0	0	0	Feb-05
coc	image	0	0	0	0	0	0	0	7	7	0	0	0	Feb-05
etd	text	202	4391	4593	0	0	0	127	2649	2776	0	0	0	Feb-05
ldr	text	2	0	2	0	0	0	2	0	2	0	0	0	Feb-05
fa	text	0	23	23	0	0	0	0	11	11	0	0	0	Feb-05
jei	text	8	3152	3160	0	5	5	2	1006	1008	5	514	519	Feb-05
rth	image	64	1191	1255	15	132	147	17	611	628	3	14	17	Feb-06
ual	image	1	1218	1219	0	17	17	6	408	414	0	1	1	Feb-06
utcat	text	2713	11346	14059	0	0	0	1392	5811	7203	1864	7400	9264	Feb-06
egy	image	67	187	254	7	12	19	31	168	199	0	0	0	Feb-06
coc	image	0	0	0	0	0	0	0	3	3	0	0	0	Feb-06
tdh	text	102	1913	2015	153	1800	1953	48	1124	1172	25	345	370	Feb-06
gar	image	0	339	339	0	63	63	0	200	200	0	7	7	Feb-06
shld	image	1	245	246	0	5	5	1	175	176	0	5	5	Feb-06
gar-bib	bib	0	0	0	1	1	2	2	5	7	0	0	0	Feb-06
fa	text	0	12	12	0	0	0	0	5	5	0	0	0	Feb-06
utcat-bib	bib	0	0	0	2	10	12	1	6	7	0	0	0	Feb-06
etd-bib	bib	0	0	0	79	354	433	40	262	302	19	74	93	Feb-06
mcc	image	2	843	845	44	1131	1175	6	331	337	0	2	2	Feb-06
uky	image	1	885	886	21	655	676	5	228	233	0	9	9	Feb-06
fa-bib	bib	0	0	0	4	16	20	1	6	7	0	0	0	Feb-06
uky-bib	bib	0	0	0	0	0	0	1	4	5	0	0	0	Feb-06
ggma	text	14	53	67	0	0	0	10	48	58	0	0	0	Feb-06
ual-bib	bib	0	0	0	6	24	30	1	4	5	0	0	0	Feb-06
tdh-bib	bib	0	0	0	0	0	0	1	4	5	0	0	0	Feb-06
rth-bib	bib	0	0	0	0	3	3	2	7	9	0	0	0	Feb-06
mpm-bib	bib	0	0	0	9	36	45	1	5	6	0	0	0	Feb-06
jei-bib	bib	0	0	0	10	40	50	1	5	6	0	0	0	Feb-06
mcc-bib	bib	0	0	0	0	0	0	1	5	6	0	0	0	Feb-06
egy-bib	bib	0	0	0	16	50	66	4	8	12	0	0	0	Feb-06
shld-bib	bib	0	0	0	13	53	66	1	5	6	0	0	0	Feb-06
etd	text	378	3190	3568	0	0	0	151	2101	2252	0	0	0	Feb-06
emn	text	0	1	1	0	0	0	0	1	1	0	0	0	Feb-06
jei	text	7282	1701	8983	3	364	367	9	469	478	367	573	940	Feb-06
tdh	text	45	10492	10537	202	22116	22318	35	5137	5172	6	7209	7215	Feb-07
etd-bib	bib	0	0	0	73	395	468	57	1275	1332	31	246	277	Feb-07
utcat	text	3394	17001	20395	0	0	0	1931	10934	12865	2341	8595	10936	Feb-07
rth	image	171	15589	15760	45	408	453	51	2649	2700	2	53	55	Feb-07
fa	text	773	182	955	337	126	463	296	120	416	449	144	593	Feb-07
ggma	text	4	154	158	0	0	0	3	116	119	0	0	0	Feb-07
etd	text	475	2679	3154	0	0	0	245	1427	1672	0	0	0	Feb-07
wcc	image	210	1466	1676	48	160	208	34	295	329	2	91	93	Feb-07
egy	image	100	1815	1915	17	290	307	13	425	438	0	0	0	Feb-07
uky	image	241	37958	38199	4	440	444	8	499	507	0	22	22	Feb-07
map	image	132	48	180	0	0	0	73	47	120	43	41	84	Feb-07
ual	image	241	28519	28760	40	1448	1488	10	562	572	0	20	20	Feb-07
gar	image	0	2422	2422	0	125	125	3	310	313	0	12	12	Feb-07
mcc	image	243	20638	20881	78	2495	2573	14	872	886	0	47	47	Feb-07
fa-bib	bib	0	0	0	8	4	12	3	73	76	0	0	0	Feb-07
egy-bib	bib	0	0	0	12	6	18	3	53	56	0	0	0	Feb-07
wcc-bib	bib	0	0	0	16	9	25	3	61	64	0	0	0	Feb-07
gar-bib	bib	0	0	0	20	12	32	3	72	75	0	0	0	Feb-07
spc-bib	bib	0	0	0	789	77	866	127	78	205	0	0	0	Feb-07
uky-bib	bib	0	0	0	28	14	42	3	55	58	0	0	0	Feb-07
ual-bib	bib	0	0	0	32	16	48	3	59	62	0	0	0	Feb-07
tdh-bib	bib	0	0	0	36	22	58	3	64	67	0	0	0	Feb-07
uht-bib	bib	0	0	0	40	21	61	3	62	65	0	0	0	Feb-07
mpm-bib	bib	0	0	0	44	22	66	3	63	66	0	0	0	Feb-07
arr-bib	bib	0	0	0	48	24	72	7	35	42	0	0	0	Feb-07
mcc-bib	bib	0	0	0	52	26	78	3	61	64	0	0	0	Feb-07
rth-bib	bib	0	0	0	56	33	89	3	61	64	0	0	0	Feb-07
jei-bib	bib	0	0	0	60	30	90	3	69	72	0	0	0	Feb-07
spcd-bib	bib	0	0	0	180	103	283	46	78	124	0	0	0	Feb-07
arrt-bib	bib	0	0	0	68	34	102	3	18	21	0	0	0	Feb-07
shld-bib	bib	0	0	0	72	43	115	3	41	44	0	0	0	Feb-07
spct-bib	bib	0	0	0	76	46	122	3	41	44	0	0	0	Feb-07
utcat-bib	bib	0	0	0	80	40	120	3	65	68	0	0	0	Feb-07
arrt	text	4	15	19	64	60	124	2	122	124	0	0	0	Feb-07
spct	text	180	106	286	180	257	437	51	190	241	0	0	0	Feb-07
vvs-bib	bib	0	0	0	2	0	2	6	2	8	0	0	0	Feb-07
shld	image	2	1760	1762	0	127	127	2	149	151	0	11	11	Feb-07
emn	text	0	14	14	0	0	0	0	5	5	0	0	0	Feb-07
ldr	text	7	21	28	0	0	0	2	13	15	0	0	0	Feb-07
coc	image	0	0	0	0	0	0	0	15	15	0	0	0	Feb-07
cad	image	0	0	0	0	0	0	0	1	1	0	0	0	Feb-07
yrb	text	36	0	36	7	0	7	16	0	16	18	0	18	Feb-07
zzz	image	0	0	0	0	0	0	0	1	1	0	0	0	Feb-07
jei	text	3	2196	2199	1	1	2	3	385	388	2	428	430	Feb-07
egy	image	0	296	296	25	126	151	2	163	165	0	0	0	Feb-08
utcat	text	9241	56614	65855	0	0	0	1190	6114	7304	1763	7846	9609	Feb-08
etd-bib	bib	0	0	0	33	356	389	38	333	371	19	92	111	Feb-08
rth	image	250	1416	1666	2	381	383	7	400	407	0	45	45	Feb-08
tdh	text	973	1593	2566	361	1542	1903	45	728	773	31	167	198	Feb-08
gar	image	0	459	459	0	52	52	0	160	160	0	49	49	Feb-08
wcc	image	18	426	444	1	123	124	6	120	126	0	8	8	Feb-08
vvz	image	70	557	627	5	25	30	6	158	164	0	1	1	Feb-08
vvi	image	22	235	257	0	19	19	8	67	75	0	2	2	Feb-08
vvs-bib	bib	0	0	0	229	1203	1432	26	406	432	0	0	0	Feb-08
vvo	text	12	8	20	196	641	837	8	73	81	0	0	0	Feb-08
uky	image	13	2300	2313	18	158	176	10	159	169	0	5	5	Feb-08
mcc	image	10	2246	2256	72	605	677	12	186	198	0	0	0	Feb-08
shld	image	0	231	231	0	78	78	0	68	68	0	15	15	Feb-08
emn	text	12	26	38	40	71	111	4	21	25	0	0	0	Feb-08
vvt	text	59	93	152	26	191	217	9	53	62	0	0	0	Feb-08
map	image	20	161	181	0	0	0	11	60	71	0	15	15	Feb-08
arrp	image	2	375	377	0	135	135	1	134	135	0	11	11	Feb-08
arrs	image	72	3148	3220	0	124	124	3	175	178	0	0	0	Feb-08
uht-bib	bib	0	0	0	0	0	0	3	22	25	0	0	0	Feb-08
spcd-bib	bib	0	0	0	22	20	42	15	29	44	0	0	0	Feb-08
wcc-bib	bib	0	0	0	0	0	0	1	5	6	0	0	0	Feb-08
ual	image	10	2835	2845	122	1018	1140	11	212	223	0	10	10	Feb-08
arr-bib	bib	0	0	0	3	75	78	7	105	112	0	0	0	Feb-08
utcat-bib	bib	0	0	0	0	6	6	3	23	26	0	0	0	Feb-08
fa	text	1047	6832	7879	305	180	485	139	5284	5423	396	1502	1898	Feb-08
wpa	image	0	0	0	0	0	0	0	2	2	0	0	0	Feb-08
spct	text	27	34	61	80	131	211	7	25	32	0	0	0	Feb-08
vvb	text	12	5	17	192	594	786	5	78	83	0	0	0	Feb-08
spc-bib	bib	0	0	0	74	17	91	17	33	50	0	0	0	Feb-08
egy-bib	bib	0	0	0	0	0	0	3	22	25	0	0	0	Feb-08
mcc-bib	bib	0	0	0	0	0	0	3	23	26	0	0	0	Feb-08
ar	text	529	242	771	1179	334	1513	61	70	131	44	33	77	Feb-08
jei-bib	bib	0	0	0	0	0	0	3	20	23	0	0	0	Feb-08
tdh-bib	bib	0	0	0	0	6	6	3	29	32	0	0	0	Feb-08
mpm-bib	bib	0	0	0	0	8	8	3	25	28	0	0	0	Feb-08
shld-bib	bib	0	0	0	0	0	0	3	24	27	0	0	0	Feb-08
gar-bib	bib	0	0	0	0	0	0	3	23	26	0	0	0	Feb-08
uky-bib	bib	0	0	0	0	0	0	3	24	27	0	0	0	Feb-08
ual-bib	bib	0	0	0	0	0	0	3	22	25	0	0	0	Feb-08
spct-bib	bib	0	0	0	0	10	10	3	22	25	0	0	0	Feb-08
rth-bib	bib	0	0	0	0	0	0	3	21	24	0	0	0	Feb-08
yrb	text	0	20	20	0	5	5	2	110	112	2	34	36	Feb-08
arro	text	12	47	59	81	1525	1606	3	27	30	0	0	0	Feb-08
arrt	text	13	34	47	94	172	266	4	21	25	0	0	0	Feb-08
gam	text	0	2	2	0	0	0	0	10	10	0	17	17	Feb-08
ggma	text	50	1692	1742	0	0	0	2	124	126	0	0	0	Feb-08
tcw	text	6	1445	1451	0	0	0	1	64	65	0	0	0	Feb-08
etd	text	1441	11089	12530	0	0	0	154	681	835	0	0	0	Feb-08
jei	text	1357	6537	7894	0	117	117	5	1086	1091	117	574	691	Feb-08
tdh	text	21	1389	1410	43	1514	1557	25	853	878	3	75	78	Jan-04
rth	image	91	1143	1234	25	112	137	16	381	397	6	24	30	Jan-04
uky	image	0	18	18	0	14	14	0	23	23	0	1	1	Jan-04
ual	image	0	25	25	0	0	0	0	26	26	0	1	1	Jan-04
etd-bib	bib	0	0	0	145	552	697	57	158	215	25	49	74	Jan-04
fa	text	1	3	4	0	0	0	1	3	4	0	0	0	Jan-04
mcc	image	1	48	49	0	73	73	5	78	83	0	13	13	Jan-04
egy	image	19	8	27	0	0	0	4	12	16	0	0	0	Jan-04
fa-bib	bib	0	0	0	4	12	16	2	9	11	0	0	0	Jan-04
egy-bib	bib	0	0	0	10	18	28	4	8	12	0	0	0	Jan-04
uky-bib	bib	0	0	0	4	8	12	2	9	11	0	0	0	Jan-04
ual-bib	bib	0	0	0	10	30	40	2	8	10	0	0	0	Jan-04
tdh-bib	bib	0	0	0	1	12	13	2	8	10	0	0	0	Jan-04
mpm-bib	bib	0	0	0	0	14	14	2	9	11	0	0	0	Jan-04
rth-bib	bib	0	0	0	16	48	64	2	8	10	0	0	0	Jan-04
jei-bib	bib	0	0	0	0	25	25	2	10	12	0	0	0	Jan-04
mcc-bib	bib	0	0	0	20	60	80	2	7	9	0	0	0	Jan-04
emn	text	1	2	3	0	0	0	1	1	2	0	0	0	Jan-04
etd	text	5	4608	4613	0	0	0	2	2537	2539	0	0	0	Jan-04
coc	image	0	0	0	0	0	0	0	2	2	0	0	0	Jan-04
jei	text	17	232	249	2	56	58	14	133	147	58	194	252	Jan-04
utcat	text	6915	27021	33936	0	0	0	2700	14488	17188	3131	13343	16474	Jan-05
ual	image	1	1262	1263	0	6	6	1	745	746	0	6	6	Jan-05
mcc	image	3	644	647	0	97	97	2	457	459	0	15	15	Jan-05
tdh	text	123	3877	4000	110	2581	2691	31	2034	2065	15	484	499	Jan-05
rth	image	32	2308	2340	6	227	233	26	1150	1176	0	14	14	Jan-05
egy	image	5	897	902	11	8	19	4	550	554	0	4	4	Jan-05
uky	image	0	374	374	0	44	44	0	219	219	0	0	0	Jan-05
etd-bib	bib	0	0	0	76	212	288	62	165	227	32	67	99	Jan-05
fa	text	0	29	29	0	0	0	0	13	13	0	0	0	Jan-05
shld	image	0	0	0	0	0	0	1	0	1	0	0	0	Jan-05
utcat-bib	bib	0	0	0	0	20	20	0	6	6	0	0	0	Jan-05
egy-bib	bib	0	0	0	0	30	30	0	6	6	0	0	0	Jan-05
fa-bib	bib	0	0	0	0	40	40	0	6	6	0	0	0	Jan-05
mcc-bib	bib	0	0	0	0	50	50	0	7	7	0	0	0	Jan-05
jei-bib	bib	0	0	0	0	0	0	0	6	6	0	0	0	Jan-05
mpm-bib	bib	0	0	0	0	0	0	0	5	5	0	0	0	Jan-05
rth-bib	bib	0	0	0	0	80	80	0	6	6	0	0	0	Jan-05
tdh-bib	bib	0	0	0	0	1	1	0	7	7	0	0	0	Jan-05
ual-bib	bib	0	0	0	0	100	100	0	6	6	0	0	0	Jan-05
uky-bib	bib	0	0	0	0	0	0	0	6	6	0	0	0	Jan-05
emn	text	0	2	2	0	0	0	0	2	2	0	0	0	Jan-05
coc	image	0	0	0	0	0	0	0	6	6	0	0	0	Jan-05
etd	text	241	3230	3471	0	0	0	131	2202	2333	0	0	0	Jan-05
ualr	image	0	0	0	0	0	0	0	1	1	0	0	0	Jan-05
jei	text	6	1697	1703	0	4	4	2	816	818	4	342	346	Jan-05
mcc	image	61	1108	1169	71	350	421	13	196	209	0	5	5	Jan-06
uky	image	57	1071	1128	46	212	258	8	142	150	0	0	0	Jan-06
utcat	text	4171	12998	17169	0	0	0	1893	6565	8458	2832	8486	11318	Jan-06
ual	image	57	1295	1352	0	0	0	11	284	295	0	0	0	Jan-06
rth	image	22	1148	1170	17	92	109	21	540	561	1	25	26	Jan-06
